City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
454,contamana,70,PE,1610145650,66,-7.3333,-75.0167,82.89,3.96
455,annan,0,GB,1610145653,93,54.9884,-3.2565,26.01,3.44
456,santa lucia,75,ES,1610145655,88,27.9117,-15.5407,61.0,11.5
457,soyapango,20,SV,1610145658,54,13.7347,-89.1514,86.0,4.61
458,onverwacht,40,SR,1610145661,88,5.5833,-55.1833,77.0,9.22
459,micheweni,34,TZ,1610145663,82,-4.9667,39.8333,79.75,13.82
460,murgab,0,TM,1610145666,86,37.4966,61.9714,23.0,13.8
461,porbandar,0,IN,1610145669,56,21.6422,69.6093,62.17,17.2
462,la plata,0,AR,1610145671,32,-34.9215,-57.9545,82.4,6.91
463,bardiyah,0,LY,1610145674,65,31.7561,25.0865,62.08,7.25
464,letychiv,100,UA,1610145676,95,49.3826,27.6305,30.52,4.05
465,muros,1,ES,1610145679,81,42.7762,-9.0603,39.99,13.51
466,at-bashi,14,KG,1610145681,69,41.1702,75.8106,-9.36,0.34
467,kamina,81,CD,1610145684,97,-8.7386,24.9906,63.21,4.0
468,dhuri,12,IN,1610145687,82,30.3667,75.8667,49.86,6.76
469,zanjan,3,IR,1610145692,79,36.6736,48.4787,26.33,3.42
470,hajan,38,IN,1610145694,79,34.3,74.6167,32.25,2.46
471,springbok,0,ZA,1610145697,49,-29.6643,17.8865,68.25,2.53
472,talnakh,100,RU,1610145699,88,69.4865,88.3972,-11.43,10.49
473,yagoua,89,CM,1610145702,18,10.3411,15.2329,75.78,9.06
474,oranjestad,20,AW,1610145704,78,12.524,-70.027,80.6,14.97
475,pucallpa,20,PE,1610145707,62,-8.3791,-74.5539,86.0,3.44
476,nikki,50,BJ,1610145709,18,9.9401,3.2108,76.69,1.92
477,cannington,0,AU,1610145712,26,-32.0167,115.95,80.6,6.91
478,boralday,90,KZ,1610145714,85,43.3578,76.8594,3.2,2.24
479,cabedelo,20,BR,1610145717,74,-6.9811,-34.8339,80.6,6.91
480,geraldton,74,AU,1610145720,83,-28.7667,114.6,69.8,2.3
481,camapua,37,BR,1610145722,71,-19.5314,-54.0439,78.03,5.06
482,south river,99,US,1610145725,70,40.4465,-74.386,36.0,4.61
483,natal,40,BR,1610145727,74,-5.795,-35.2094,80.6,11.5
484,grand baie,21,MU,1610145563,89,-20.0182,57.5802,75.0,3.0
485,kayerkan,99,RU,1610145737,88,69.3497,87.7602,-13.14,4.47
486,copiapo,40,CL,1610145727,64,-27.3667,-70.3333,68.0,16.11
487,mchinji,100,MW,1610145742,95,-13.7984,32.8802,66.33,2.68
488,labytnangi,95,RU,1610145745,91,66.6572,66.4183,-6.25,1.63
489,krupina,0,SK,1610145748,95,48.3554,19.0647,30.99,1.01
490,sortland,8,NO,1610145750,58,68.6949,15.4162,24.01,11.5
491,ponta delgada,40,PT,1610145753,66,37.7333,-25.6667,53.6,6.91
492,seara,68,PT,1610145755,8,41.1818,-7.8003,30.99,5.35
493,wana,0,PK,1610145505,65,32.2989,69.5725,38.01,3.02
494,grimma,98,DE,1610145760,97,51.2333,12.7167,33.01,1.01
495,tomelloso,100,ES,1610145763,97,39.1522,-3.0243,30.99,15.01
496,walvis bay,77,NA,1610145765,82,-22.9575,14.5053,68.0,9.22
497,kutum,0,SD,1610145768,33,14.2,24.6667,59.09,10.49
498,manadhoo,100,MV,1610145770,75,5.7667,73.3833,81.66,5.35
